3M ESPE Single Bond Universal Adhesive[3M Deutschland GmbH],1,SINGLE BOND UNIVERSAL ADHESIVE- INTRODUCTORY KIT,41275,GERMANY,2,SINGLE BOND UNIVERSAL ADHESIVE- INTRODUCTORY KIT,41277,GERMANY,3,SINGLE BOND UNIVERSAL ADHESIVE- TRIAL KIT,41283,GERMANY,4,SINGLE BOND UNIVERSAL ADHESIVE-TRIAL KIT,41285,GERMANY,5,Single Bond Universal Adhesive,41282,GERMANY,6,Single Bond Universal Adhesive,41269,GERMANY,7,Single Bond Universal Adhesive,41279,GERMANY,8,Etchant Dispensing Tips,41274,GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Single Bond Universal DCA Dual Cure Activator[3M Deutschland GmbH],1,Single Bond Universal DCA Dual Cure Activator,41286,GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Stainless Steel Crowns[3M ESPE],1,3M ESPE Stainless Steel Primary Molar Crowns Kit,ND-48,-,2,3M ESPE Stainless Steel Primary Molar Crowns Kit,ND-96,-,3,3M ESPE Stainless Steel Primary Molar Crowns DUL2,DUL2,-,4,3M ESPE Stainless Steel Primary Molar Crowns DUL3,DUL3,-,5,3M ESPE Stainless Steel Primary Molar Crowns DUL4,DUL4,-,6,3M ESPE Stainless Steel Primary Molar Crowns DUL5,DUL5,-,7,3M ESPE Stainless Steel Primary Molar Crowns DUL6,DUL6,-,8,3M ESPE Stainless Steel Primary Molar Crowns DUL7,DUL7,-,9,3M ESPE Stainless Steel Primary Molar Crowns EUL2,EUL2,-,10,3M ESPE Stainless Steel Primary Molar Crowns EUL3,EUL3,-,11,3M ESPE Stainless Steel Primary Molar Crowns EUL4,EUL4,-,12,3M ESPE Stainless Steel Primary Molar Crowns EUL5,EUL5,-,13,3M ESPE Stainless Steel Primary Molar Crowns EUL6,EUL6,-,14,3M ESPE Stainless Steel Primary Molar Crowns EUL7,EUL7,-,15,3M ESPE Stainless Steel Primary Molar Crowns DLL2,DLL2,-,16,3M ESPE Stainless Steel Primary Molar Crowns DLL3,DLL3,-,17,3M ESPE Stainless Steel Primary Molar Crowns DLL4,DLL4,-,18,3M ESPE Stainless Steel Primary Molar Crowns DLL5,DLL5,-,19,3M ESPE Stainless Steel Primary Molar Crowns DLL6,DLL6,-,20,3M ESPE Stainless Steel Primary Molar Crowns DLL7,DLL7,-,21,3M ESPE Stainless Steel Primary Molar Crowns ELL2,ELL2,-,22,3M ESPE Stainless Steel Primary Molar Crowns ELL3,ELL3,-,23,3M ESPE Stainless Steel Primary Molar Crowns ELL4,ELL4,-,24,3M ESPE Stainless Steel Primary Molar Crowns ELL5,ELL5,-,25,3M ESPE Stainless Steel Primary Molar Crowns ELL6,ELL6,-,26,3M ESPE Stainless Steel Primary Molar Crowns ELL7,ELL7,-,27,3M ESPE Stainless Steel Primary Molar Crowns DUR2,DUR2,-,28,3M ESPE Stainless Steel Primary Molar Crowns DUR3,DUR3,-,29,3M ESPE Stainless Steel Primary Molar Crowns DUR4,DUR4,-,30,3M ESPE Stainless Steel Primary Molar Crowns DUR5,DUR5,-,31,3M ESPE Stainless Steel Primary Molar Crowns DUR6,DUR6,-,32,3M ESPE Stainless Steel Primary Molar Crowns DUR7,DUR7,-,33,3M ESPE Stainless Steel Primary Molar Crowns EUR2,EUR2,-,34,3M ESPE Stainless Steel Primary Molar Crowns EUR3,EUR3,-,35,3M ESPE Stainless Steel Primary Molar Crowns EUR4,EUR4,-,36,3M ESPE Stainless Steel Primary Molar Crowns EUR5,EUR5,-,37,3M ESPE Stainless Steel Primary Molar Crowns EUR6,EUR6,-,38,3M ESPE Stainless Steel Primary Molar Crowns EUR7,EUR7,-,39,3M ESPE Stainless Steel Primary Molar Crowns DLR2,DLR2,-,40,3M ESPE Stainless Steel Primary Molar Crowns DLR3,DLR3,-,41,3M ESPE Stainless Steel Primary Molar Crowns DLR4,DLR4,-,42,3M ESPE Stainless Steel Primary Molar Crowns DLR5,DLR5,-,43,3M ESPE Stainless Steel Primary Molar Crowns DLR6,DLR6,-,44,3M ESPE Stainless Steel Primary Molar Crowns DLR7,DLR7,-,45,3M ESPE Stainless Steel Primary Molar Crowns ELR2,ELR2,-,46,3M ESPE Stainless Steel Primary Molar Crowns ELR3,ELR3,-,47,3M ESPE Stainless Steel Primary Molar Crowns ELR4,ELR4,-,48,3M ESPE Stainless Steel Primary Molar Crowns ELR5,ELR5,-,49,3M ESPE Stainless Steel Primary Molar Crowns ELR6,ELR6,-,50,3M ESPE Stainless Steel Primary Molar Crowns ELR7,ELR7,-,51,3M ESPE Stainless Steel Permanent Molar Crowns Kit,PO-24,-,52,3M ESPE Stainless Steel Permanent Molar Crowns Kit,PO-96,-,53,3M ESPE Stainless Steel Permanent Molar Crowns 6UL2,6UL2,-,54,3M ESPE Stainless Steel Permanent Molar Crowns 6UL3,6UL3,-,55,3M ESPE Stainless Steel Permanent Molar Crowns 6UL4,6UL4,-,56,3M ESPE Stainless Steel Permanent Molar Crowns 6UL5,6UL5,-,57,3M ESPE Stainless Steel Permanent Molar Crowns 6UL 6,6UL6,-,58,3M ESPE Stainless Steel Permanent Molar Crowns 6UL7,6UL7,-,59,3M ESPE Stainless Steel Permanent Molar Crowns 6LL2,6LL2,-,60,3M ESPE Stainless Steel Permanent Molar Crowns 6LL3,6LL3,-,61,3M ESPE Stainless Steel Permanent Molar Crowns 6LL4,6LL4,-,62,3M ESPE Stainless Steel Permanent Molar Crowns 6LL5,6LL5,-,63,3M ESPE Stainless Steel Permanent Molar Crowns 6LL 6,6LL6,-,64,3M ESPE Stainless Steel Permanent Molar Crowns 6LL7,6LL7,-,65,3M ESPE Stainless Steel Permanent Molar Crowns 6UR2,6UR2,-,66,3M ESPE Stainless Steel Permanent Molar Crowns 6UR3,6UR3,-,67,3M ESPE Stainless Steel Permanent Molar Crowns 6UR4,6UR4,-,68,3M ESPE Stainless Steel Permanent Molar Crowns 6UR5,6UR5,-,69,3M ESPE Stainless Steel Permanent Molar Crowns 6UR 6,6UR6,-,70,3M ESPE Stainless Steel Permanent Molar Crowns 6UR7,6UR7,-,71,3M ESPE Stainless Steel Permanent Molar Crowns 6LR2,6LR2,-,72,3M ESPE Stainless Steel Permanent Molar Crowns 6LR3,6LR3,-,73,3M ESPE Stainless Steel Permanent Molar Crowns 6LR4,6LR4,-,74,3M ESPE Stainless Steel Permanent Molar Crowns 6LR5,6LR5,-,75,3M ESPE Stainless Steel Permanent Molar Crowns 6LR 6,6LR6,-,76,3M ESPE Stainless Steel Permanent Molar Crowns 6LR7,6LR7,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Vitrebond™ Light Cure Glass Ionomer Liner Base[3M ESPE],1,Vitrebond kit,7510,-,2,Vitrebond Light Cure Glass Ionomer Liner/Base Powder,7512P,-,3,Vitrebond Light Cure Glass Ionomer Liner/Base Liquid,7512L,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Vitrebond™ Plus Light Cure Glass Ionomer Liner/Base[3M ESPE],1,3M ESPE Vitrebond Plus Light Cure Glass Ionomer Line/Base - Single Pack,7571,UNITED STATES,2,3M ESPE Vitrebond Plus Light Cure Glass Ionomer Line/Base - Double Pack,7572,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Z100 Restorative[3M ESPE],1,Syringes Kit: 4 x 4g Restorative Paste of various shades,8004L,-,2,Syringes Kit: 5 x 4g Restorative Paste of various shades,8004SB,-,3,Syringes: 1 x 4g A1 Shade,8004A1,-,4,Syringes: 1 x 4g A2 Shade,8004A2,-,5,Syringes: 1 x 4g A3 Shade,8004A3,-,6,Syringes: 1 x 4g A3.5 Shade,8004A3.5,-,7,Syringes: 1 x 4g A4 Shade,8004A4,-,8,Syringes: 1x 4g B2 Shade,8004B2,-,9,Syringes: 1x 4g B3 Shade,8004B3,-,10,Syringes: 1x 4g C2 Shade,8004C2,-,11,Syringes: 1x 4g C4 Shade,8004C4,-,12,Syringes: 1x 4g D3 Shade,8004D3,-,13,Syringes: 1x 4g Cervical Yellow Shade,8004CY,-,14,Syringes: 1 x 4g Incisal Shade,8004I,-,15,Syringes: 1 x 4g Pedo Shade,8004P,-,16,Syringes: 1 x 4g Cervical Grey Shade,8004CG,-,17,Syringes: 1 x 4g Universal Dentin Shade,8004UD,-,18,Capsules Kit: 6 x 10 x 0.2g Restorative Paste of various shades,5905T,-,19,Capsule: 18 x 0.2g A1 Shade,5905A1,-,20,Capsule: 18 x 0.2g A2 Shade,5905A2,-,21,Capsule: 18 x 0.2g A3 Shade,5905A3,-,22,Capsule: 18 x 0.2g A3.5 Shade,5905A3.5,-,23,Capsule: 18 x 0.2g A4 Shade,5905A4,-,24,Capsule: 18 x 0.2g B2 Shade,5905B2,-,25,Capsule: 18 x 0.2g B3 Shade,5905B3,-,26,Capsule: 18 x 0.2g C2 Shade,5905C2,-,27,Capsule: 18 x 0.2g C4 Shade,5905C4,-,28,Capsule: 18 x 0.2g D3 Shade,5905D3,-,29,Capsule: 18 x 0.2g Cervical Yellow Shade,5907CY,-,30,Capsule: 18 x 0.2g Incisal Shade,5907I,-,31,Capsule: 18 x 0.2g Pedo Shade,5907P,-,32,Capsule: 18 x 0.2g Cervical Grey Shade,5907CG,-,33,Capsule: 18 x 0.2g Universal Dentin Shade,5907UD,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Zirconia Dental Block (3M Essentials)[3M Deutschland GmbH],1,Zirconia Block,68782,GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills[3M ESPE],1,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size M; shade Bleach",69140,"UNITED STATES, GERMANY",2,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size M; shade A1 – HT",69141,"UNITED STATES, GERMANY",3,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size M; shade A1 – LT",69142,"UNITED STATES, GERMANY",4,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size M; shade A2 - HT",69143,"UNITED STATES, GERMANY",5,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size M; shade A2 – LT",69144,"UNITED STATES, GERMANY",6,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size M; shade A3 – HT",69145,"UNITED STATES, GERMANY",7,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size M; shade A3 – LT",69146,"UNITED STATES, GERMANY",8,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size M; shade A3.5 – LT",69147,"UNITED STATES, GERMANY",9,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size M; shade B1 – HT",69148,"UNITED STATES, GERMANY",10,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size M; shade B1 – LT",69149,"UNITED STATES, GERMANY",11,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size M; shade C2 – LT",69150,"UNITED STATES, GERMANY",12,"3M ESPE™ Lava��� Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size M; shade D2 – LT",69151,"UNITED STATES, GERMANY",13,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size S; shade Bleach",69152,"UNITED STATES, GERMANY",14,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size S, shade A1 – HT",69153,"UNITED STATES, GERMANY",15,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size S; shade A1 – LT",69154,"UNITED STATES, GERMANY",16,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size S; shade A2 – HT",69155,"UNITED STATES, GERMANY",17,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size S; shade A2 – LT",69156,"UNITED STATES, GERMANY",18,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size S; shade A3 – HT",69157,"UNITED STATES, GERMANY",19,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size S; shade A3 – LT",69158,"UNITED STATES, GERMANY",20,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size S; shade A3.5 – LT",69159,"UNITED STATES, GERMANY",21,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size S; shade B1 – HT",69160,"UNITED STATES, GERMANY",22,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size S; shade B1 – LT",69161,"UNITED STATES, GERMANY",23,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size S; shade C2 – LT",69162,"UNITED STATES, GERMANY",24,"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills, 6 blocks; size S; shade D2 – LT",69163,"UNITED STATES, GERMANY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M TegadermTM  High Integrity (HI) Alginate Dressing[3M Health Care],1,"High Integrity (HI) Alginate Dressing     2"" x 2"" / 5cm x 5cm",90110,-,2,"High Integrity (HI) Alginate Dressing     4"" x 4"" / 10cm x 10cm",90112,-,3,"High Integrity (HI) Alginate Dressing      4"" x 8"" / 10cm x 20cm",90114,-,4,"High Integrity (HI) Alginate Dressing      Rope 12"" / 30.4 cm",90120,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M TegadermTM High Gelling (HG) Alginate Dressing[3M Health Care],1,"High Gelling (HG) Alginate Dressing     2"" x 2"" / 5cm x 5cm",90210,-,2,"High Gelling (HG) Alginate Dressing     4"" x 4"" / 10cm x 10cm",90212,-,3,"High Gelling (HG) Alginate Dressing      4"" x 8"" / 10cm x 20cm",90214,-,4,"High Gelling (HG) Alginate Dressing      Rope 12"" / 30.4 cm",90220,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Tegaderm™ Absorbent Clear Acrylic Dressing Oval and Square[3M Health Care],1,Tegaderm™ Absorbent Clear Acrylic Dressing (Oval),90800,-,2,Tegaderm™ Absorbent Clear Acrylic Dressing (Oval),90803,-,3,Tegaderm™ Absorbent Clear Acrylic Dressing (Square),90805,-,4,Tegaderm™ Absorbent Clear Acrylic Dressing (Oval),90801,-,5,Tegaderm™ Absorbent Clear Acrylic Dressing (Square),90802,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Tegaderm™ Absorbent Clear Acrylic Dressing Sacral Design[3M Health Care],1,Tegaderm™ Absorbent Clear Acrylic Dressing (Sacral),90807,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Tegaderm™ Ag Mesh Dressing with Silver[3M Health Care],1,Tegaderm™ Ag Mesh Dressing with Silver,90500,CHINA,2,Tegaderm™ Ag Mesh Dressing with Silver,90501,CHINA,3,Tegaderm™ Ag Mesh Dressing with Silver,90502,CHINA,4,Tegaderm™ Ag Mesh Dressing with Silver,90503,CHINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
