Labname,LicenseeName,LicencePeriod,HCICode,UEN,Tel,Fax,Adress,LaboratoryManager,SpecialTests,Url,warning,error
"NHG DIAGNOSTICS - CLINICAL LABORATORY, GEYLANG POLYCLINIC",Wong Moh Sim,"01/10/2019to
									30/09/2021 
										
										
											[ 2 Years ]",17I0285,52936325M,63553000,"64966625
								 ","21
						GEYLANG EAST CENTRAL
						
						#03-01
						Singapore 389707",Kho Siok Wah Serene,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=46024,,
"NHG DIAGNOSTICS - CLINICAL LABORATORY, HOUGANG POLYCLINIC",Wong Moh Sim,"21/03/2019to
									20/03/2024 
										
										
											[ 5 Years ]",9700112,52936325M,63553000,"63864196
								 ","89
						HOUGANG AVE 4
						
							HOUGANG POLYCLINIC
							
						
						
						Singapore 538829",Kho Siok Wah Serene,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=1170,,
"NHG DIAGNOSTICS - CLINICAL LABORATORY, JURONG POLYCLINIC",WONG MOH SIM,"01/04/2018to
									31/03/2023 
										
										
											[ 5 Years ]",9700127,T08CL0126L,66636847,"65616202
								 ","190
						JURONG EAST AVENUE 1
						
						
						Singapore 609788",Kho Siok Wah Serene,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=1190,,
"NHG DIAGNOSTICS - CLINICAL LABORATORY, QUEENSTOWN POLYCLINIC",Sunil Kumar Sethi,"01/10/2019to
									30/09/2021 
										
										
											[ 2 Years ]",17I0284,52936325M,67163380,"64966625
								 ","580
						STIRLING ROAD
						
						
						Singapore 148958",Kho Siok Wah Serene,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=46025,,
"NHG DIAGNOSTICS - CLINICAL LABORATORY, YISHUN POLYCLINIC",Wong Moh Sim,"27/06/2020to
									26/06/2022 
										
										
											[ 2 Years ]",9700110,52936325M,63553000,"67523895
								 ","2
						YISHUN AVENUE 9
						
							YISHUN POLYCLINIC
							
						
						
						Singapore 768898",Kho Siok Wah Serene,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=1220,,
"NHG DIAGNOSTICS - CLINICAL LABORATORY, YISHUN POLYCLINIC",Wong Moh Sim,"27/06/2020to
									26/06/2022 
										
										
											[ 2 Years ]",9700110,52936325M,63553000,"67523895
								 ","2
						YISHUN AVENUE 9
						
							YISHUN POLYCLINIC
							
						
						
						Singapore 768898",Kho Siok Wah Serene,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=1220,,
NHG DIAGNOSTICS - X-RAY,Lim Mei Chin,"14/08/2020to
									13/08/2025 
										
										
											[ 5 Years ]",15X0089,52936325M,63397422,"63397427
								 ","3
						SOON LEE STREET
						
							PIONEER JUNCTION
							
						
						#01-08
						Singapore 627606",Tan Paik Geok Peggy,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=44967,,
"NHG DIAGNOSTICS - X-RAY, ANG MO KIO POLYCLINIC",Lee Yeong Shyan,"29/01/2020to
									28/01/2022 
										
										
											[ 2 Years ]",9700213,52936325M,64966633,"65531309
								 ","21
						ANG MO KIO CENTRAL 2
						
						
						Singapore 569666",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=35790,,
"NHG DIAGNOSTICS - X-RAY, BUKIT BATOK POLYCLINIC",Toh Kok Hong,"08/12/2019to
									07/12/2024 
										
										
											[ 5 Years ]",9700168,52936325M,64966623,"00000000
								 ","50
						BUKIT BATOK WEST AVENUE 3
						
						
						Singapore 659164",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=1330,,
"NHG DIAGNOSTICS - X-RAY, CLEMENTI POLYCLINIC",Quek Swee Tian,"02/04/2019to
									01/04/2024 
										
										
											[ 5 Years ]",9700113,52936325M,64966633,"00000000
								 ","BLK 
					   
						451
						CLEMENTI AVE 3
						
						#02-307
						Singapore 120451",TAN CHIA LING,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=1300,,
"NHG DIAGNOSTICS - X-RAY, GEYLANG POLYCLINIC",LIM HOCK TAI @ GAVIN,"01/10/2019to
									30/09/2021 
										
										
											[ 2 Years ]",17X0263,52936325M,63553000,"00000000
								 ","21
						GEYLANG EAST CENTRAL
						
						
						Singapore 389707",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=46023,,
"NHG DIAGNOSTICS - X-RAY, HOUGANG POLYCLINIC",Chong Bee Kiang,"23/04/2019to
									22/04/2024 
										
										
											[ 5 Years ]",9700129,52936325M,64966633,"00000000
								 ","89
						HOUGANG AVENUE 4
						
							HOUGANG POLYCLINIC
							
						
						
						Singapore 538829",TAN CHIA LING,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=1310,,
"NHG DIAGNOSTICS - X-RAY, INSTITUTE OF MENTAL HEALTH",Tan Cher Heng,"25/10/2019to
									24/10/2021 
										
										
											[ 2 Years ]",17X0337,52936325M,63892898,"63892982
								 ","10
						BUANGKOK VIEW
						
							INSTITUTE OF MENTAL HEALTH
							
						
						
						Singapore 539747",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=46056,,
"NHG DIAGNOSTICS - X-RAY, JURONG POLYCLINIC",TAN LAY SUAN ESTHER,"29/04/2019to
									28/04/2024 
										
										
											[ 5 Years ]",9700137,52936325M,64966633,"00000000
								 ","190
						JURONG EAST AVENUE 1
						
							JURONG POLYCLINIC
							
						
						
						Singapore 609788",TAN CHIA LING,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=1320,,
"NHG DIAGNOSTICS - X-RAY, NUS UNIVERSITY HEALTH CENTRE",HWANG CHENG YANG,"04/09/2020to
									03/09/2025 
										
										
											[ 5 Years ]",14X0267,52936325M,68726529,"00000000
								 ","20
						LOWER KENT RIDGE ROAD
						
							UHC, LEVEL 1, NUS UNIVERSITY HEALTH CENTRE
							
						
						
						Singapore 119080",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=44743,,
"NHG DIAGNOSTICS - X-RAY, PIONEER POLYCLINIC",Gopinathan Anil,"10/07/2019to
									09/07/2021 
										
										
											[ 2 Years ]",17X0210,52936325M,66636847,"00000000
								 ","26
						JURONG WEST STREET 61
						
						
						Singapore 648201",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45927,,
"NHG DIAGNOSTICS - X-RAY, QUEENSTOWN POLYCLINIC",Ang Wei Leng Bertrand,"01/10/2019to
									30/09/2021 
										
										
											[ 2 Years ]",17X0255,52936325M,66636847,"00000000
								 ","BLK 
					   
						580
						STIRLING ROAD
						
						
						Singapore 148958",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46022,,
"NHG DIAGNOSTICS - X-RAY, ST LUKE'S HOSPITAL",Agrawal Sachin Nandkishore,"21/02/2020to
									20/02/2022 
										
										
											[ 2 Years ]",14X0351,T07XL0176L,68953230,"65613625
								 ","2
						Bukit Batok Street 11
						
						
						Singapore 659674",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=44827,,
"NHG DIAGNOSTICS - X-RAY, WOODLANDS POLYCLINIC",Teo Kiat Beng Terence,"26/03/2020to
									25/03/2025 
										
										
											[ 5 Years ]",18X0077,52936325M,64966633,"63666279
								 ","10
						Woodlands St 31
						
						
						Singapore 738579",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46346,,
"NHG DIAGNOSTICS - X-RAY, YISHUN POLYCLINIC",Lim Mei Yeen Hollie,"07/12/2020to
									06/12/2022 
										
										
											[ 2 Years ]",9700131,52936325M,63553000,"00000000
								 ","2
						YISHUN AVENUE 9
						
						
						Singapore 768898",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=1290,,
"NHG DIAGNOSTICS - XRAY LABORATORY, ANG MO KIO - THYE HUA KWAN HOSPITAL LTD",Karandikar Amit Anand,"17/11/2018to
									16/11/2023 
										
										
											[ 5 Years ]",9700163,52936325M,64548481,"64542618
								 ","17
						ANG MO KIO AVENUE 9
						
						
						Singapore 569766",TAN CHIA LING,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=31490,,
"NHG DIAGNOSTICS - XRAY LABORATORY, CHOA CHU KANG POLYCLINIC",Quek Swee Tian,"15/02/2019to
									14/02/2024 
										
										
											[ 5 Years ]",9700174,52936325M,64966633,"00000000
								 ","2
						Teck Whye Crescent
						
						
						Singapore 688846",TAN CHIA LING,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=32371,,
"NHG DIAGNOSTICS - XRAY LABORATORY, TOA PAYOH POLYCLINIC",WONG EN SHEN DANIEL,"01/04/2018to
									31/03/2023 
										
										
											[ 5 Years ]",9700143,T08XL0143B,64966633,"00000000
								 ","2003
						TOA PAYOH LORONG 8
						
						
						Singapore 319260",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=1270,,
"NHG DIAGNOSTICS - X-RAY, JURONG POLYCLINIC",TAN LAY SUAN ESTHER,"29/04/2019to
									28/04/2024 
										
										
											[ 5 Years ]",9700137,52936325M,64966633,"00000000
								 ","190
						JURONG EAST AVENUE 1
						
							JURONG POLYCLINIC
							
						
						
						Singapore 609788",TAN CHIA LING,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=1320,,
"NHG DIAGNOSTICS - X-RAY, NUS UNIVERSITY HEALTH CENTRE",HWANG CHENG YANG,"04/09/2020to
									03/09/2025 
										
										
											[ 5 Years ]",14X0267,52936325M,68726529,"00000000
								 ","20
						LOWER KENT RIDGE ROAD
						
							UHC, LEVEL 1, NUS UNIVERSITY HEALTH CENTRE
							
						
						
						Singapore 119080",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=44743,,
"NHG DIAGNOSTICS - X-RAY, PIONEER POLYCLINIC",Gopinathan Anil,"10/07/2019to
									09/07/2021 
										
										
											[ 2 Years ]",17X0210,52936325M,66636847,"00000000
								 ","26
						JURONG WEST STREET 61
						
						
						Singapore 648201",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45927,,
"NHG DIAGNOSTICS - X-RAY, QUEENSTOWN POLYCLINIC",Ang Wei Leng Bertrand,"01/10/2019to
									30/09/2021 
										
										
											[ 2 Years ]",17X0255,52936325M,66636847,"00000000
								 ","BLK 
					   
						580
						STIRLING ROAD
						
						
						Singapore 148958",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46022,,
"NHG DIAGNOSTICS - X-RAY, ST LUKE'S HOSPITAL",Agrawal Sachin Nandkishore,"21/02/2020to
									20/02/2022 
										
										
											[ 2 Years ]",14X0351,T07XL0176L,68953230,"65613625
								 ","2
						Bukit Batok Street 11
						
						
						Singapore 659674",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=44827,,
"NHG DIAGNOSTICS - X-RAY, WOODLANDS POLYCLINIC",Teo Kiat Beng Terence,"26/03/2020to
									25/03/2025 
										
										
											[ 5 Years ]",18X0077,52936325M,64966633,"63666279
								 ","10
						Woodlands St 31
						
						
						Singapore 738579",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46346,,
"NHG DIAGNOSTICS - X-RAY, YISHUN POLYCLINIC",Lim Mei Yeen Hollie,"07/12/2020to
									06/12/2022 
										
										
											[ 2 Years ]",9700131,52936325M,63553000,"00000000
								 ","2
						YISHUN AVENUE 9
						
						
						Singapore 768898",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=1290,,
"NHG DIAGNOSTICS - XRAY LABORATORY, ANG MO KIO - THYE HUA KWAN HOSPITAL LTD",Karandikar Amit Anand,"17/11/2018to
									16/11/2023 
										
										
											[ 5 Years ]",9700163,52936325M,64548481,"64542618
								 ","17
						ANG MO KIO AVENUE 9
						
						
						Singapore 569766",TAN CHIA LING,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=31490,,
"NHG DIAGNOSTICS - XRAY LABORATORY, CHOA CHU KANG POLYCLINIC",Quek Swee Tian,"15/02/2019to
									14/02/2024 
										
										
											[ 5 Years ]",9700174,52936325M,64966633,"00000000
								 ","2
						Teck Whye Crescent
						
						
						Singapore 688846",TAN CHIA LING,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=32371,,
"NHG DIAGNOSTICS - XRAY LABORATORY, TOA PAYOH POLYCLINIC",WONG EN SHEN DANIEL,"01/04/2018to
									31/03/2023 
										
										
											[ 5 Years ]",9700143,T08XL0143B,64966633,"00000000
								 ","2003
						TOA PAYOH LORONG 8
						
						
						Singapore 319260",TAN PAIK GEOK PEGGY,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=1270,,
"NHG DIAGNOSTICS-CLINICAL LABORATORY, CHOA CHU KANG POLYCLINIC",SUNIL KUMAR SETHI,"01/04/2018to
									31/03/2023 
										
										
											[ 5 Years ]",9700146,52936325M,66636847,"67673455
								 ","2
						TECK WHYE CRESCENT
						
						
						Singapore 688846",Kho Siok Wah Serene,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=1150,,
"NHG DIAGNOSTICS-CLINICAL LABORATORY, PIONEER POLYCLINIC",Sunil Kumar Sethi,"11/07/2019to
									10/07/2021 
										
										
											[ 2 Years ]",16I0195,52936325M,66636847,"68613562
								 ","26
						JURONG WEST STREET 61
						
						
						Singapore 648201",KHO SIOK WAH SERENE,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45517,,
"NHG DIAGNOSTICS-CLINICAL LABORATORY, TOA PAYOH POLYCLINIC",SUNIL KUMAR SETHI,"01/04/2018to
									31/03/2023 
										
										
											[ 5 Years ]",9700142,52936325M,63553000,"62504553
								 ","2003
						TOA PAYOH LORONG 8
						
						
						Singapore 319260",Kho Siok Wah Serene,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=1200,,
"NHG DIAGNOSTICS-CLINICAL LABORATORY, WOODLANDS POLYCLINIC",WONG MOH SIM,"01/04/2018to
									31/03/2023 
										
										
											[ 5 Years ]",9700144,52936325M,63553000,"63666279
								 ","10
						WOODLANDS STREET 31
						
						
						Singapore 738579",Serene Kho Siok Wah,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=1210,,
NOVENA MRI DIAGNOSTICS,Gupta Achint,"23/10/2020to
									22/10/2022 
										
										
											[ 2 Years ]",15X0132,201422931G,66943431,"66941431
								 ","BLK 
					   
						8
						SINARAN DRIVE
						
							NOVENA SPECIALIST CENTRE
							
						
						#05-02
						Singapore 307470",Tan Ming Yee,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=45010,,
ORTHOPAEDIC & HAND MRI (OHM) EXTREMITIES PTE LTD,SHEAH BAN JOO KENNETH,"01/07/2019to
									30/06/2024 
										
										
											[ 5 Years ]",13X0004,201230337D,63393512,"67337889
								 ","8
						SINARAN DRIVE
						
							NOVENA SPECIALIST CENTER
							
						
						#05-18
						Singapore 307470",Sheah Ban Joo Kenneth,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=43910,,
ORTHOPAEDIC & HAND MRI (OHM) NOVENA PTE LTD,Sheah Ban Joo Kenneth,"08/03/2020to
									07/03/2022 
										
										
											[ 2 Years ]",18X0062,201727229M,62686266,"62686271
								 ","8
						SINARAN DRIVE
						
							NOVENA SPECIALIST CENTRE
							
						
						#04-05
						Singapore 307470",Sheah Ban Joo Kenneth,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46291,,
ORTHOPAEDIC & HAND MRI (OHM) ORCHARD PTE LTD,Sheah Ban Joo Kenneth,"03/11/2019to
									02/11/2021 
										
										
											[ 2 Years ]",17X0346,201721094Z,63393512,"63393912
								 ","BLK 
					   
						1
						ORCHARD BOULEVARD
						
							CAMDEN CENTRE
							
						
						#05-03
						Singapore 248649",Sheah Ban Joo Kenneth,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46064,,
PARKWAY LABORATORY SERVICES LTD,Yu Chia-Wen Carmen,"18/01/2021to
									17/01/2023 
										
										
											[ 2 Years ]",11I0006,198302251E,62789188,"62485878
								 ","2
						ALJUNIED AVENUE 1
						
							FRAMEWORK 2 BUILDING
							
						
						#04-11
						Singapore 389977",Sng Choon Kwee Joshua,Acid-Fast Bacilli (Smear) TestBlood Group ABO and Rhesus (D) Type TestsHuman Immunodeficiency Virus (HIV) TestMalaria Parasite Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=41333,,
PARKWAY LABORATORY SERVICES LTD,Yu Chia-Wen Carmen,"18/01/2021to
									17/01/2023 
										
										
											[ 2 Years ]",13I0272,198302251E,69330801,"62485864
								 ","2
						ALJUNIED AVENUE 1
						
							FRAMEWORK 2 BUILDING
							
						
						#07-11
						Singapore 389977",Yu Chia-Wen Carmen,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=44376,,
PARKWAY LABORATORY SERVICES LTD,YU CHIA-WEN CARMEN,"01/04/2021to
									31/03/2023 
										
										
											[ 2 Years ]",21I0148,198302251E,,"62485845
								 ","4190
						ANG MO KIO AVENUE 6
						
							BROADWAY PLAZA
							
						
						#03-01
						Singapore 569841",Joshua Sng Choon Kwee,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=47630,,
PATHNOVA LABORATORIES PTE. LTD.,Chan Soh Ha,"15/09/2019to
									14/09/2021 
										
										
											[ 2 Years ]",17I0288,201714180H,90393990,"68727007
								 ","1
						RESEARCH LINK
						
						#05-40
						Singapore 117604",Zulizawaty Binte Salim,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46003,,
PATHNOVA LABORATORIES PTE. LTD.,ERIC YAP PENG HUAT,"05/05/2021to
									27/05/2022 
										
										
											[ < 1 Year ]",20I0181,201714180H,65138572,"63392888
								 ","11
						MANDALAY ROAD
						
							CLINICAL SCIENCES BUILDING, LEE KONG CHIAN SCHOOL OF MEDICINE
							
						
						#12-00
						Singapore 308232",Zulizawaty Bte Salim,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=47230,,
PATHOLOGY & CLINICAL LABORATORY PTE LTD,LEONG SIK HOONG,"30/11/2019to
									29/11/2021 
										
										
											[ 2 Years ]",9700032,197200753W,67429011,"67429226
								 ","45
						KALLANG PUDDING ROAD
						
							ALPHA BUILDING
							
						
						#05-01/04
						Singapore 349317",LEONG SIK HOONG,Blood Group ABO and Rhesus (D) Type TestsHuman Immunodeficiency Virus (HIV) TestMalaria Parasite Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=1360,,
PAYA LEBAR MEDICAL IMAGING,Lam Shu Lin,"02/04/2020to
									01/04/2022 
										
										
											[ 2 Years ]",20X0087,53335466L,,"88910283
								 ","155
						UPPER PAYA LEBAR ROAD
						
						#01-155
						Singapore 534853",Tay Yong Teck Benjamin,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=47189,,
PLATINUM MEDICAL CENTRE PTE LTD,MAHENDRAN NADARAJAH,"02/06/2020to
									01/06/2022 
										
										
											[ 2 Years ]",18X0148,201509829H,62571134,"62573844
								 ","BLK 
					   
						504
						YISHUN STREET 51
						
							Multi Storey Carpark
							
						
						#01-02
						Singapore 760504",MAHENDRAN NADARAJAH,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=Zx0LmPWkb3h1IrOLziKNhAlyHVN60uZKAmCMNF46ytqIzlODpeuV!-2119202606!-858717092&task=view&toBack=search&pkId=46507,,
